t,dataset 1,dataset 2,dataset 3,dataset 4,dataset 5,dataset 6
0,50,48,48,48,50,50
100,50.00354528,48.05224716,48.00079379,48.00281958,50.00149479,50.00411667
200,50.01418112,48.20898866,48.00317514,48.0112783,50.00597915,50.01646668
300,50.03190752,48.47022448,48.00714407,48.02537618,50.01345308,50.03705003
400,50.05672448,48.83595464,48.01270057,48.04511321,50.02391659,50.06586672
500,50.088632,49.30617912,48.01984464,48.07048939,50.03736968,50.10291675
600,50.12763009,49.88089793,48.02857628,48.10150472,50.05381234,50.14820013
700,50.17371873,50.56011107,48.0388955,48.1381592,50.07324457,50.20171684
800,50.22689793,51.34381854,48.05080228,48.18045284,50.09566637,50.26346689
900,50.28716769,52.23202034,48.06429664,48.22838562,50.12107775,50.33345028
1000,50.35452801,53.22471647,48.07937857,48.28195756,50.14947871,50.41166701
1100,50.4289789,54.32190693,48.09604807,48.34116864,50.18086924,50.49811709
1200,50.51052034,55.52359172,48.11430514,48.40601888,50.21524934,50.5928005
1300,50.59915234,56.82977083,48.13414978,48.47650827,50.25261902,50.69571725
1400,50.69487491,58.24044428,48.15558199,48.55263681,50.29297827,50.80686735
1500,50.79768803,59.75561206,48.17860178,48.63440451,50.33632709,50.92625078
1600,50.90759172,61.37527416,48.20320913,48.72181135,50.38266549,51.05386756
1700,51.02458596,63.0994306,48.22940406,48.81485734,50.43199347,51.18971767
1800,51.14867077,64.92808136,48.25718656,48.91354249,50.48431102,51.33380113
1900,51.27984613,66.86122646,48.28655663,49.01786678,50.53961814,51.48611792
2000,51.41811206,68.89886588,48.31751427,49.12783023,50.59791483,51.64666806
2100,51.56346854,71.04099963,48.35005948,49.24343283,50.6592011,51.81545153
2200,51.71591559,73.28762771,48.38419226,49.36467458,50.72347695,51.99246835
2300,51.8754532,75.63875013,48.41991262,49.49155548,50.79074237,52.17771851
2400,52.04208136,78.09436687,48.45722055,49.62407553,50.86099736,52.371202
