t,dataset 1,dataset 2,dataset 3,dataset 4,dataset 5,dataset 6,dataset 7,dataset 8,dataset 9,dataset 10,dataset 11,dataset 12,dataset 13,dataset 14,dataset 15
0,25.91,26.14,24.02,22.78,26.21,21.61,24.30,26.55,24.75,23.49,24.00,24.81,25.68,24.32,23.32
100,23.53,24.71,22.76,22.39,23.56,23.82,23.20,31.54,25.65,25.74,26.27,24.25,22.73,24.73,23.85
200,23.75,22.95,23.34,23.84,24.67,23.33,24.39,28.73,24.36,24.53,24.84,22.31,23.93,23.59,22.94
300,23.23,22.56,23.66,21.87,25.82,23.09,24.48,30.97,26.12,24.05,23.43,26.16,22.85,26.03,23.57
400,23.68,23.38,23.47,20.88,23.46,23.79,25.99,30.22,24.66,26.06,25.14,23.12,23.41,21.89,23.16
500,23.93,23.57,22.75,24.79,26.09,22.74,25.95,28.32,24.35,22.85,24.35,23.15,22.63,23.84,23.97
600,22.77,23.60,28.07,23.47,26.13,23.26,24.67,32.03,25.59,24.73,24.76,24.89,24.56,25.37,23.64
700,22.25,25.99,29.81,22.42,24.89,22.78,24.50,31.84,25.16,26.93,23.78,23.35,24.83,21.10,25.22
800,26.32,25.53,33.42,22.75,24.94,24.38,26.50,33.69,25.30,24.11,23.18,24.21,23.89,22.88,27.09
900,24.82,30.92,34.31,23.20,24.55,22.59,22.66,31.84,26.19,25.91,26.96,29.13,26.49,24.75,25.34
1000,22.91,28.76,33.35,23.24,26.45,21.69,24.92,34.77,25.06,25.60,24.44,27.59,23.79,25.83,25.72
1100,25.18,32.61,33.11,22.73,24.34,25.03,25.79,34.09,27.28,25.39,26.06,27.58,24.88,26.93,25.36
1200,23.61,32.75,34.81,23.35,26.77,25.14,25.36,34.34,27.29,24.71,23.45,27.12,25.49,28.00,25.35
1300,28.42,33.14,34.71,21.13,26.02,23.72,25.17,34.32,23.52,23.33,23.19,27.92,26.68,26.66,25.88
1400,26.04,31.19,33.32,25.48,24.06,25.85,25.96,33.83,25.78,26.13,23.97,29.13,25.01,28.47,24.77
1500,27.32,32.52,31.77,24.34,23.46,24.29,26.08,37.36,26.37,24.14,26.44,30.54,23.41,27.33,25.23
1600,28.80,32.77,33.75,25.48,26.31,25.57,23.93,34.85,26.88,26.88,23.60,29.56,25.55,30.81,24.29
1700,29.51,32.59,34.46,23.87,24.83,24.34,26.06,37.69,26.88,26.52,24.62,32.04,25.98,30.45,26.42
1800,26.65,35.57,34.93,26.38,26.54,26.90,25.58,34.50,29.84,26.94,23.62,30.48,22.94,28.71,25.19
1900,29.88,33.50,33.50,23.47,27.75,25.75,26.15,37.76,24.16,26.84,25.69,33.16,27.97,28.48,24.61
2000,26.48,34.10,34.36,25.38,25.58,27.26,23.86,38.83,27.80,25.69,25.60,31.97,27.36,28.61,24.44
2100,28.05,33.77,34.79,26.64,26.92,26.55,24.76,36.98,26.05,27.88,25.91,32.22,28.49,29.43,28.12
2200,27.63,35.51,33.88,27.33,30.80,28.95,24.76,37.69,28.36,25.57,24.40,31.31,28.50,30.02,27.26
